       eth0       
 Kbps in  Kbps out
53152.02      0.00
54680.63      7.30
55000.47      0.00
54964.35      0.00
53289.76      0.00
52196.30      0.00
53865.93      0.00
52652.26      0.00
53195.57      0.00
53526.35      0.00
50612.32      0.00
52647.75      0.00
48786.38      0.00
48366.65      0.00
53862.56      0.00
53915.53      0.00
53561.04      0.00
46549.37      0.00
53842.65      0.00
45776.33      0.00
43822.09      0.00
49138.25      0.00
47115.59      0.00
48954.93      0.00
45739.23      0.00
53653.37      0.00
46046.56      0.00
52733.22      0.00
53344.83      0.00
53781.27      0.00
47913.63      0.00
54116.17      0.00
52566.09      1.03
