       eth0       
 Kbps in  Kbps out
45738.68      0.00
50415.68      7.18
51265.40      0.00
53420.76      0.00
53616.69      0.00
48238.19      0.00
53926.63      0.00
54961.07      0.00
50951.20      0.00
55244.67      0.00
50137.01      0.00
48603.45      0.00
50025.97      0.00
49353.27      0.00
50100.45      0.00
49800.41      0.00
46975.90      3.09
50213.23      0.00
49842.55      0.00
46076.35      0.00
50326.45      0.00
50045.67      0.00
50143.83      0.00
50136.25      3.18
49513.54      2.58
51255.12      0.00
55005.59      0.00
55004.33      0.00
55198.25      0.00
51015.32      0.00
49847.27      0.00
49263.82      0.00
40566.33      0.00
45029.05      0.00
30816.74      0.00
