       eth0       
 Kbps in  Kbps out
72589.96      0.00
76385.65      6.66
81630.94      0.00
80950.90      0.00
80190.05      0.00
76888.28      0.00
81164.18      0.00
77794.66      0.00
79592.70      0.00
75866.68      0.00
78266.71      0.00
79206.04      0.00
72987.66      0.00
74941.29      0.00
75128.35      0.00
74075.85      0.00
73849.15      0.00
70434.92      0.00
79865.79      0.00
82343.82      0.00
82893.03      0.00
81884.58      0.00
78924.49      0.00
80372.59      0.00
77171.20      0.00
68912.77      0.00
82212.56      0.00
75364.27      0.00
78276.11      0.00
77613.76      0.00
81130.87      0.00
78884.72      0.00
64691.99      0.00
64241.48      0.00
