       eth0       
 Kbps in  Kbps out
71745.80      0.00
71021.69      6.66
70018.67      0.00
74757.92      0.00
65731.66      0.00
74384.28      0.52
74302.27      5.20
71430.34      0.00
76365.30      0.00
73619.70      0.00
73609.96      0.00
71972.32      0.98
68716.76      2.93
72001.39      6.41
66664.88      0.00
74238.20      0.00
73654.26      0.00
71003.22      0.00
74056.59      0.00
73223.54      0.00
72560.01      0.00
64653.76      0.00
72244.05      0.00
72116.98      0.00
69751.52      0.62
62736.30      0.62
73314.75      0.62
75882.59      0.62
66819.15      0.62
75973.21      0.62
76569.97      0.62
68223.44      0.62
64439.04      0.62
60961.08      0.62
