scheme,numSubscribers,in (kbps),in (mbps),in (krps)
baseerat,8,81630.94,79.71771484375,200.07583333333335
baseerat,8,80950.9,79.05361328125,198.40906862745098
baseerat,8,80190.05,78.310595703125,196.54424019607845
baseerat,8,76888.28,75.0862109375,188.45166666666665
baseerat,8,81164.18,79.26189453125,198.93181372549017
baseerat,8,77794.66,75.97134765625,190.67318627450982
baseerat,8,79592.7,77.72724609375,195.0801470588235
baseerat,8,75866.68,74.0885546875,185.9477450980392
baseerat,8,78266.71,76.432333984375,191.83017156862746
baseerat,8,79206.04,77.3496484375,194.13245098039215
baseerat,8,72987.66,71.27701171875,178.89132352941178
baseerat,8,74941.29,73.184853515625,183.67963235294116
baseerat,8,75128.35,73.367529296875,184.13811274509806
baseerat,8,74075.85,72.339697265625,181.55845588235294
baseerat,8,73849.15,72.118310546875,181.00281862745098
baseerat,8,70434.92,68.7841015625,172.63460784313725
baseerat,8,79865.79,77.993935546875,195.74948529411762
baseerat,8,82343.82,80.41388671875,201.82308823529414
baseerat,8,82893.03,80.950224609375,203.16919117647058
baseerat,8,81884.58,79.96541015625,200.6975
baseerat,8,78924.49,77.074697265625,193.44237745098042
baseerat,8,80372.59,78.488857421875,196.99164215686272
baseerat,8,77171.2,75.3625,189.14509803921567
baseerat,8,68912.77,67.297626953125,168.9038480392157
baseerat,8,82212.56,80.285703125,201.5013725490196
baseerat,8,75364.27,73.597919921875,184.7163480392157
baseerat,8,78276.11,76.441513671875,191.85321078431372
baseerat,8,77613.76,75.7946875,190.22980392156862
baseerat,8,81130.87,79.229365234375,198.85017156862745
baseerat,8,78884.72,77.035859375,193.3449019607843
baseerat,8,64691.99,63.175771484375,158.55879901960785
baseerat,8,64241.48,62.7358203125,157.45460784313727
baseerat,1,70018.67,68.377607421875,171.61438725490197
baseerat,1,74757.92,73.00578125,183.23019607843136
baseerat,1,65731.66,64.19107421875,161.10700980392158
baseerat,1,74384.28,72.6408984375,182.31441176470588
baseerat,1,74302.27,72.560810546875,182.1134068627451
baseerat,1,71430.34,69.75619140625,175.07436274509803
baseerat,1,76365.3,74.57548828125,187.1698529411765
baseerat,1,73619.7,71.89423828125,180.44044117647059
baseerat,1,73609.96,71.8847265625,180.416568627451
baseerat,1,71972.32,70.28546875,176.40274509803922
baseerat,1,68716.76,67.1062109375,168.423431372549
baseerat,1,72001.39,70.313857421875,176.4739950980392
baseerat,1,66664.88,65.102421875,163.3943137254902
baseerat,1,74238.2,72.4982421875,181.9563725490196
baseerat,1,73654.26,71.92798828125,180.5251470588235
baseerat,1,71003.22,69.33908203125,174.0275
baseerat,1,74056.59,72.320888671875,181.51125
baseerat,1,73223.54,71.50736328125,179.4694607843137
baseerat,1,72560.01,70.859384765625,177.84316176470588
baseerat,1,64653.76,63.1384375,158.4650980392157
baseerat,1,72244.05,70.550830078125,177.06875
baseerat,1,72116.98,70.42673828125,176.75730392156862
baseerat,1,69751.52,68.11671875,170.95960784313726
baseerat,1,62736.3,61.26591796875,153.7654411764706
baseerat,1,73314.75,71.596435546875,179.69301470588235
baseerat,1,75882.59,74.104091796875,185.98674019607842
baseerat,1,66819.15,65.253076171875,163.77242647058821
baseerat,1,75973.21,74.192587890625,186.2088480392157
baseerat,1,76569.97,74.775361328125,187.67149509803923
baseerat,1,68223.44,66.624453125,167.2143137254902
baseerat,1,64439.04,62.92875,157.93882352941176
baseerat,1,60961.08,59.5323046875,149.41441176470587
baseerat,64,77542.21,75.724814453125,190.0544362745098
baseerat,64,75468.29,73.699501953125,184.97129901960784
baseerat,64,75381.25,73.614501953125,184.7579656862745
baseerat,64,77760.83,75.938310546875,190.59026960784314
baseerat,64,72800.13,71.093876953125,178.4316911764706
