       eth0       
 Kbps in  Kbps out
    9.21      0.52
   10.97     13.76
    9.21      5.85
    9.21      5.85
    0.66      6.18
    9.21      0.33
    9.21      5.85
    9.21      5.85
    9.21      5.85
    9.21      5.85
    0.33      5.85
    9.21      0.33
    9.21      5.85
    9.21      5.85
    9.21      5.85
    9.20      5.85
    9.21      5.85
    0.00      0.00
    9.21      5.85
    9.21      5.85
    9.20      5.84
    9.21      5.85
    9.21      5.85
    0.00      0.00
    9.21      5.85
    9.20      5.85
    9.21      5.85
    9.54     11.71
    9.21      0.33
    0.00      0.00
    9.20      5.85
    9.21      5.85
