       eth0       
 Kbps in  Kbps out
    0.33      0.51
    2.67     31.71
    9.54     23.41
    0.33      0.00
    0.33     23.41
   13.75     23.30
    0.33     23.41
    0.33     23.41
    0.33     23.41
    4.60      0.00
    0.33     23.39
    0.33     23.41
    0.33     23.41
    0.33     23.42
    0.33     23.41
    0.33      0.00
    4.60     23.41
    0.33     23.41
    0.33     23.41
    0.33     23.41
    4.93     23.39
    0.33      0.00
    0.33     23.41
   13.81     23.40
    0.33     23.41
    0.33     23.41
    0.33     23.41
    4.60      0.00
    0.33     23.41
    0.33     23.41
    0.33     23.41
    4.71     49.27
